Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
1135	20190729_sample_2	20190729_slice_2	2019-07-29	Sample 2	mouse_XFWCQ	2019-05-26	64	F	Sst-IRES-Cre/wt; Ai9/wt	6	5	SST+	999098	1191108	132352	9	10190	Sst	Sst Th_1	0.82	Sst Th_1 (81.9%), Sst Th_3 (9.7%), Sst Crhr2_2 (2.3%)	Sst Rxfp1 Prdm8 (53.0%), Sst Tac2 Tacstd2 (32.0%), Sst Esm1 (9.0%)	2173	209.71	Fede	45	993.5	359.3	509.4	1405.944	y	
1136	20190729_sample_3	20190729_slice_3	2019-07-29	Sample 3	mouse_XFWCQ	2019-05-26	64	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	937287	1278156	191683	9	9817	Sst	Sst Hpse	0.91	Sst Hpse (90.6%), Sst Calb2 (8.7%)	Sst Hpse Cbln4 (99.0%)	1785	241.35	Fede	37	446	265.9	602.5	1662.9	y	
1137	20190729_sample_5	20190729_slice_5	2019-07-29	Sample 5	mouse_XFWCQ	2019-05-26	64	F	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	468848	211271	73432	9	6628	Pvalb	Pvalb Calb1_1	0.53	Pvalb Calb1_1 (52.6%), Sst Th_3 (24.7%), Sst Crhr2_1 (7.0%)	Sst Nts (83.0%), Pvalb Th Sst (17.0%)	1629	156.06	Fede	66	1377.4	506.7	528.9	1459.764	y	
1138	20190730_sample_1	20190730_slice_1	2019-07-30	Sample 1	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	2/3	2/3	VIP+	1284139	965673	146344	9	9434	Vip	Vip Mybpc1_3	0.97	Vip Mybpc1_3 (97.1%)	Vip Lect1 Oxtr (100.0%)	1905	251.2	Fede	13	230.9	82.4	577.2	1593.072		
1139	20190730_sample_2	20190730_slice_2	2019-07-30	Sample 2	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP+	3605167	807105	191264	9	11462	Vip	Vip Gpc3	1.00	Vip Gpc3 (99.6%)	Vip Arhgap36 Hmcn1 (94.0%), Vip Gpc3 Slc18a3 (6.0%)	1901	236.45	Fede	22	1373	500.3	583.9	1611.564		
1140	20190730_sample_5	20190730_slice_5	2019-07-30	Sample 5	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	5	6	VIP+	413696	21102	23761	9	3801	Vip	Vip C1ql1	0.42	Vip C1ql1 (42.0%), Vip Mybpc1_2 (27.1%), Vip Gpc3 (9.4%)	Vip Igfbp4 Mab21l1 (76.0%), Vip Pygm C1ql1 (22.0%)	1820	40.62	Fede	25	1160.1	423	505.7	1395.732		
1141	20190730_sample_6	20190730_slice_6	2019-07-30	Sample 6	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	1	1	VIP+	797119	478241	85782	9	6093	Vip	Vip Mybpc1_2	0.89	Vip Mybpc1_2 (88.9%), Vip Sncg (10.1%)	Vip Crispld2 Htr2c (100.0%)	1657	51.98	Fede	25	96.4	35.3	535.3	1477.428		
1142	20190730_sample_7	20190730_slice_7	2019-07-30	Sample 7	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP+	430965	235317	40338	9	5254	Vip	Vip Gpc3	0.58	Vip Gpc3 (58.3%), Vip Serpinf1_1 (18.7%), Vip Chat_1 (12.4%)	Vip Gpc3 Slc18a3 (77.0%), Vip Lmo1 Fam159b (11.0%), Vip Ptprt Pkp2 (9.0%)	1609	94.66	Fede	22	1118.4	423	492.9	1360.404	y	
1143	20190730_sample_9	20190730_slice_9	2019-07-30	Sample 9	mouse_ELRNU	2019-06-04	56	F	Vip-IRES-Cre/wt; Ai9/wt	6	6	VIP-	229758	35408	43440	9	3394	Lamp5	Lamp5 Lhx6	0.47	Lamp5 Lhx6 (47.4%), Lamp5 Slc35d3 (29.9%), Lamp5 Pdlim5_2 (13.9%)	Lamp5 Lhx6 (98.0%)	1558	69.69	Fede	42	1345.2	495.2	537.1	1482.396	y	
1144	20190731_sample_1	20190731_slice_1	2019-07-31	Sample 1	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	5	VIPR2+	1340689	1951287	212477	9	10278	Pvalb	Pvalb Calb1_2	0.65	Pvalb Calb1_2 (65.0%), Pvalb Reln (24.9%), Pvalb Gpr149 (4.0%)	Pvalb Reln Tac1 (89.0%), Pvalb Reln Itm2a (9.0%)	2132	297.1	Fede	23	706.8	251.3	607.8	1677.528	y	
1145	20190731_sample_2	20190731_slice_2	2019-07-31	Sample 2	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	5	VIPR2+	407158	496293	64007	9	5926	Lamp5	Lamp5 Slc35d3	0.96	Lamp5 Slc35d3 (96.3%)	Lamp5 Lsp1 (100.0%)	1885	109.96	Fede	25	1040.1	370.6	543.1	1498.956		
1146	20190731_sample_3	20190731_slice_3	2019-07-31	Sample 3	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	5	VIPR2+	221130	17971	19914	9	2552	low quality					1559	79.13	Fede	40	1068.5	389.5	546.3	1507.788		
1147	20190731_sample_4	20190731_slice_4	2019-07-31	Sample 4	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	6	VIPR2+	555091	887497	89525	9	6662	Vip	Vip Chat_1	0.67	Vip Chat_1 (67.1%), Vip Mybpc1_1 (22.1%), Vip Chat_2 (4.0%)	Vip Lmo1 Fam159b (50.0%), Vip Ptprt Pkp2 (42.0%), Vip Lmo1 Myl1 (8.0%)	1856	118.64	Fede	20	1210.3	435.9	516.1	1424.436		
1148	20190731_sample_5	20190731_slice_5	2019-07-31	Sample 5	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	5	VIPR2+	583064	603267	75376	9	8250	Pvalb	Pvalb Il1rapl2	0.89	Pvalb Il1rapl2 (88.9%), Pvalb Gpr149 (6.1%)	Pvalb Tpbg (98.0%)	1941	196.57	Fede	29	428.8	156.6	523.4	1444.584	y	
1149	20190731_sample_6	20190731_slice_6	2019-07-31	Sample 6	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	2/3	2/3	VIPR2+	31980	17291	10297	9	1419	low quality					1719	66.34	Fede	31	274.5	97.4	510.3	1408.428		
1150	20190731_sample_8	20190731_slice_8	2019-07-31	Sample 8	mouse_XKIBL	2019-06-16	45	M	Vipr2-IRES2-Cre-D/wt; Ai9/wt	5	5	VIPR2+	2231783	2162198	321311	9	11092	Pvalb	Pvalb Il1rapl2	0.91	Pvalb Il1rapl2 (90.9%), Pvalb Reln (6.7%)	Pvalb Tpbg (74.0%), Pvalb Reln Itm2a (26.0%)	2053	162.65	Fede	29	589.5	217.1	583.2	1609.632		
1151	20190801_sample_1	20190801_slice_1	2019-08-01	Sample 1	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1301324	1422653	200440	9	9218	IT	L4/5 IT_2	0.95	L4/5 IT_2 (94.7%), L4/5 IT_1 (4.1%)	L4 IT VISp Rspo1 (52.0%), L5 IT ALM Lypd1 Gpr88 (36.0%), L5 IT ALM Cbln4 Fezf2 (8.0%)	2076	142.84	Fede	15	524.5	181.8	510.3	1408.428	y	
1152	20190801_sample_2	20190801_slice_2	2019-08-01	Sample 2	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	292782	14772	18376	9	3784	Sst	Sst Th_3	0.86	Sst Th_3 (85.6%), Sst Th_2 (5.3%), Sst Myh8_1 (3.0%)	Sst Nts (100.0%)	2219	44.43	Fede	25	1484.5	546.1	565.3	1560.228		
1153	20190801_sample_3	20190801_slice_3	2019-08-01	Sample 3	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	427824	431706	63972	9	7670	Sst	Sst C1ql3_1	0.74	Sst C1ql3_1 (74.4%), Sst C1ql3_2 (25.4%)	Sst Rxfp1 Eya1 (100.0%)	2094	106.11	Fede	47	591.4	207.8	496.7	1370.892		
1154	20190801_sample_4	20190801_slice_4	2019-08-01	Sample 4	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	280578	197369	55491	9	5303	Sst	Sst Myh8_3	0.53	Sst Myh8_3 (53.1%), Sst Htr1a (14.0%), Sst Myh8_1 (13.9%)	Sst Hpse Sema3c (49.0%), Sst Tac2 Myh4 (21.0%), Sst Hpse Cbln4 (12.0%)	1608	73.62	Fede	45	821	291.6	501.5	1384.14		
1155	20190801_sample_7	20190801_slice_7	2019-08-01	Sample 7	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	4145057	374628	165563	9	11819	Sst	Sst Th_3	0.95	Sst Th_3 (95.1%)	Sst Nts (97.0%)	1992	293.79	Fede	45	Slice Lost			0		
1156	20190801_sample_8	20190801_slice_8	2019-08-01	Sample 8	mouse_CCAHV	2019-05-19	74	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	41575	8468	10055	9	1838	low quality					1575	49.87	Fede	30	766.2	277.1	487.5	1345.5		
1157	20190820_sample_1	20190820_slice_1	2019-08-20	Sample 1	mouse_HKIEN	2019-06-16	65	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	4523895	129651	161710	10	8702	Sst	Sst Myh8_3	0.46	Sst Myh8_3 (45.7%), Sst Crhr2_1 (26.1%), Sst Crhr2_2 (18.7%)	Sst Tac2 Myh4 (55.0%), Sst Crhr2 Efemp1 (45.0%)	1652	352.09	Fede	45	825.3	302.4	569.3	1571.268		
1158	20190820_sample_2	20190820_slice_2	2019-08-20	Sample 2	mouse_HKIEN	2019-06-16	65	F	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST-	7794619	145431	284608	10	8611	CT	L6 CT Cpa6	0.68	L6 CT Cpa6 (68.1%), L6 CT Pou3f2 (13.9%), L6 CT Grp (12.4%)	L6 CT ALM Cpa6 (97.0%)	1854	160.68	Fede	11	1435.9	526.3	616	1700.16	y	
1159	20190820_sample_3	20190820_slice_3	2019-08-20	Sample 3	mouse_HKIEN	2019-06-16	65	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	4705415	4512346	606454	10	13753	Pvalb	Pvalb Calb1_1	0.84	Pvalb Calb1_1 (84.3%), Sst Crhr2_1 (9.7%), Pvalb Kank4 (4.1%)	Sst Mme Fam114a1 (86.0%), Pvalb Sema3e Kank4 (8.0%), Sst Crh 4930553C11Rik  (5.0%)	2437	196.16	Fede	45	1045.6	382.1	608.7	1680.012	y	
1160	20190820_sample_5	20190820_slice_5	2019-08-20	Sample 5	mouse_HKIEN	2019-06-16	65	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1726169	1488809	227931	10	8414	Sst	Sst Myh8_1	0.82	Sst Myh8_1 (81.7%), Sst Myh8_2 (18.0%)	Sst Chrna2 Glra3 (73.0%), Sst Chrna2 Ptgdr (27.0%)	1869	110.94	Fede	47	809.6	287.9	626.5	1729.14		
1161	20190820_sample_6	20190820_slice_6	2019-08-20	Sample 6	mouse_HKIEN	2019-06-16	65	F	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST-	2332011	1856639	202340	10	9270	CT	L6 CT Cpa6	0.71	L6 CT Cpa6 (71.4%), L6b Col6a1 (22.9%), L6 CT Pou3f2 (3.1%)	L6 CT ALM Cpa6 (90.0%), L6 CT VISp Krt80 Sla (7.0%)	2139	137.1	Fede	20	1227.7	447.4	509.3	1405.668	y	
1162	20190821_sample_1	20190821_slice_1	2019-08-21	Sample 1	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	5	SLC17a8+	2644347	105600	139933	10	6187	IT	L5 IT_1	0.69	L5 IT_1 (69.4%), L6 CT Pou3f2 (6.6%), L6 CT Grp (6.1%)	L5 IT VISp Batf3 (100.0%)	1938	123.85	Fede	22	649.9	241.9	558	1540.08		
1163	20190821_sample_2	20190821_slice_2	2019-08-21	Sample 2	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	5	SLC17a8+	1463466	89643	100989	10	4615	IT	L4/5 IT_1	0.83	L4/5 IT_1 (82.6%), L4/5 IT_2 (6.6%), L5 IT_3 (2.4%)	L4 IT VISp Rspo1 (92.0%), L5 IT ALM Pld5 (8.0%)	2018	63	Fede	24	595.8	218.2	589.9	1628.124	y	
1164	20190821_sample_3	20190821_slice_3	2019-08-21	Sample 3	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	6	SLC17a8+	1101107	69767	78458	10	4596	CT	L6 CT Cpa6	0.63	L6 CT Cpa6 (63.3%), L6 CT Pou3f2 (14.9%), L6 CT Grp (9.3%)	L6 CT ALM Cpa6 (70.0%), L6 CT VISp Ctxn3 Brinp3 (17.0%), L6 CT ALM Nxph2 Sla (6.0%)	1845	64.77	Fede	15	1380.5	501.8	564.8	1558.848	y	
1165	20190821_sample_4	20190821_slice_4	2019-08-21	Sample 4	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	2/3	SLC17a8+	1835934	1431882	193484	10	8724	IT	L4/5 IT_1	0.89	L4/5 IT_1 (88.6%), L4/5 IT_2 (9.9%)	L4 IT VISp Rspo1 (100.0%)	2188	121.19	Fede	15	470.9	163.2	627.4	1731.624		
1166	20190821_sample_5	20190821_slice_5	2019-08-21	Sample 5	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	6	SLC17a8+	1911343	1076584	164650	10	8196	IT	L6 IT_1	0.63	L6 IT_1 (63.3%), L5 IT_3 (11.3%), L6 CT Cpa6 (9.3%)	L6 IT VISp Penk Fst (87.0%), L6 IT VISp Col23a1 Adamts2 (6.0%), L6 IT VISp Col18a1 (4.0%)	2118	100.23	Fede	25	1272.5	464.8	577.6	1594.176	y	
1167	20190821_sample_6	20190821_slice_6	2019-08-21	Sample 6	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	2/3	SLC17a8+	2131430	2642472	302773	10	10694	IT	L4/5 IT_1	0.54	L4/5 IT_1 (54.3%), L2/3 IT_3 (32.7%), L5 IT_3 (8.1%)	L4 IT VISp Rspo1 (62.0%), L5 IT ALM Pld5 (17.0%), L5 IT ALM Npw (9.0%)	2433	111.54	Fede	22	473	175.4	672.6	1856.376		
1168	20190821_sample_7	20190821_slice_7	2019-08-21	Sample 7	mouse_CUEES	2019-06-22	60	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	2/3	SLC17a8+	4156433	130791	175787	10	6816	IT	L4/5 IT_1	0.89	L4/5 IT_1 (88.7%), L4/5 IT_2 (4.4%), L6 CT Pou3f2 (2.9%)	L4 IT VISp Rspo1 (67.0%), L5 IT ALM Pld5 (33.0%)	1930	82.72	Fede	25	498.8	182.8	654.7	1806.972		
1169	20190823_sample_1	20190823_slice_1	2019-08-23	Sample 1	mouse_NZDYM	2019-06-09	75	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	2/3	SLC17a8+	4935818	3604625	521264	10	13057	IT	L4/5 IT_1	1.00	L4/5 IT_1 (99.6%)	L5 IT ALM Pld5 (73.0%), L4 IT VISp Rspo1 (27.0%)	2136	239.15	Fede	14	399.2	144.5	501.5	1384.14	y	
1170	20190823_sample_3	20190823_slice_3	2019-08-23	Sample 3	mouse_NZDYM	2019-06-09	75	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	6	6	SLC17a8+	1475350	508828	171700	10	6296	Pvalb	Pvalb Calb1_1	0.53	Pvalb Calb1_1 (52.9%), Pvalb Calb1_2 (34.4%), Pvalb Il1rapl2 (6.6%)	Pvalb Calb1 Sst (34.0%), Sst Tac1 Tacr3 (18.0%), Pvalb Th Sst (15.0%)	2066	62.98	Fede	30	1279.4	458.3	532.7	1470.252		
1171	20190823_sample_5	20190823_slice_4	2019-08-23	Sample 5	mouse_NZDYM	2019-06-09	75	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	6	6	SLC17a8+	257423	47523	43755	10	2282	low quality					1503	62.82	Fede	10	1036.2	384.8	506	1396.56		
1172	20190823_sample_6	20190823_slice_5	2019-08-23	Sample 6	mouse_NZDYM	2019-06-09	75	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	5	SLC17a8+	1824450	1767365	265548	10	9903	IT	L4/5 IT_2	0.84	L4/5 IT_2 (83.7%), L4/5 IT_1 (9.9%), L5 IT_1 (4.6%)	L5 IT ALM Lypd1 Gpr88 (89.0%), L4 IT VISp Rspo1 (9.0%)	1979	143.05	Fede	17	935.7	339.4	545.4	1505.304	y	
1173	20190823_sample_7	20190823_slice_6	2019-08-23	Sample 7	mouse_NZDYM	2019-06-09	75	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	5	5	SLC17a8+	3161804	114175	146835	10	7245	IT	L4/5 IT_1	0.50	L4/5 IT_1 (49.7%), L4/5 IT_2 (20.4%), L5 IT_1 (9.7%)	L4 IT VISp Rspo1 (93.0%), L5 IT ALM Pld5 (7.0%)	1914	84.58	Fede	10	523.8	188.2	534.4	1474.944		
1174	20190827_sample_1	20190827_slice_1	2019-08-27	Sample 1	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2786832	3772720	418397	10	12237	Sst	Sst C1ql3_1	0.91	Sst C1ql3_1 (91.1%), Sst C1ql3_2 (6.3%)	Sst Rxfp1 Eya1 (100.0%)	2296	388.69	Fede	55	924.7	337.7	609.4	1681.944	y	
1175	20190827_sample_2	20190827_slice_2	2019-08-27	Sample 2	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	89489	21324	19151	10	1446	low quality					1504	54.91	Fede	62	1329.1	475.9	611.6	1688.016		
1176	20190827_sample_3	20190827_slice_2	2019-08-27	Sample 3	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2032183	115440	150953	10	5604	Sst	Sst Hpse	0.47	Sst Hpse (47.3%), Sst Htr1a (31.3%), Sst Calb2 (11.7%)	Sst Hpse Sema3c (80.0%), Sst Hpse Cbln4 (20.0%)	1585	98.52	Fede	42	838.1	300.9	611.6	1688.016		
1177	20190827_sample_4	20190827_slice_3	2019-08-27	Sample 4	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1507970	124916	168242	10	5011	Sst	Sst Etv1	0.36	Sst Etv1 (35.7%), Sst Pvalb Etv1 (25.0%), Sst Pvalb Calb2 (14.7%)	Sst Myh8 Etv1  (66.0%), Sst Nr2f2 Necab1 (32.0%)	1556	87	Fede	45	746.7	253.8	582.4	1607.424	y	
1178	20190827_sample_5	20190827_slice_3	2019-08-27	Sample 5	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	666489	70743	81040	10	3800	CT	L6 CT Pou3f2	0.15	L6 CT Pou3f2 (15.4%), L2/3 IT_3 (14.0%), L5 IT_3 (10.6%)	L2/3 IT VISp Rrad (61.0%), L6 IT VISp Penk Fst (29.0%), L5 IT VISp Batf3 (3.0%)	1523	58.94	Fede	8	1300.4	472.1	582.4	1607.424		
1179	20190827_sample_6	20190827_slice_4	2019-08-27	Sample 6	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	2262047	2103842	307349	10	9971	Sst	Sst Th_3	0.95	Sst Th_3 (95.1%)	Sst Nts (100.0%)	1938	172.24	Fede	30	1604.7	586.8	643.4	1775.784		
1180	20190827_sample_7	20190827_slice_5	2019-08-27	Sample 7	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	3527816	2617314	410365	10	10971	Pvalb	Pvalb Gabrg1	0.57	Pvalb Gabrg1 (56.9%), Sst Th_3 (35.7%), Pvalb Egfem1 (5.7%)	Pvalb Th Sst (89.0%), Pvalb Gabrg1 (11.0%)	2106	139.28	Fede	32	1765	642.7	696.4	1922.064	y	
1181	20190827_sample_8	20190827_slice_6	2019-08-27	Sample 8	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	3064704	1812558	367846	10	10837	Sst	Sst Hpse	0.84	Sst Hpse (84.4%), Sst Pvalb Calb2 (7.4%), Sst Crhr2_1 (3.6%)	Sst Hpse Cbln4 (62.0%), Sst Calb2 Pdlim5 (12.0%), Sst Crhr2 Efemp1 (10.0%)	1843	149.28	Fede	55	912	314.3	679.8	1876.248		
1182	20190827_sample_9	20190827_slice_6	2019-08-27	Sample 9	mouse_JYRHH	2019-06-16	72	M	Sst-IRES-Cre/wt; Ai9/wt	6	6	SST+	2003477	58330	90525	10	6346	Sst	Sst Th_3	0.81	Sst Th_3 (81.4%), Sst Myh8_1 (5.0%), Sst Penk (4.0%)	Sst Nts (99.0%)	1709	72.95	Fede	25	1405.5	516.3	679.8	1876.248		
1183	20190828_sample_1	20190828_slice_1	2019-08-28	Sample 1	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	5	5	VIP+	1247800	1285084	164482	10	8839	Vip	Vip Mybpc1_1	0.86	Vip Mybpc1_1 (86.1%), Vip Chat_1 (3.9%), Vip Mybpc1_2 (3.0%)	Vip Lmo1 Fam159b (51.0%), Vip Lmo1 Myl1 (47.0%)	1956	184.37	Fede	20	615.7	229.4	546.9	1509.444		
1184	20190828_sample_3	20190828_slice_3	2019-08-28	Sample 3	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	6	5	VIP+	1616941	1845290	194764	10	8946	Vip	Vip Mybpc1_3	0.44	Vip Mybpc1_3 (43.7%), Vip C1ql1 (40.1%), Vip Gpc3 (9.4%)	Vip Igfbp4 Mab21l1 (96.0%)	2143	106.69	Fede	20	869.2	311.4	485.9	1341.084		
1185	20190828_sample_4	20190828_slice_4	2019-08-28	Sample 4	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	5	5	VIP+	956103	668227	99019	10	6683	Vip	Vip Gpc3	0.99	Vip Gpc3 (98.6%)	Vip Arhgap36 Hmcn1 (97.0%)	2115	104.02	Fede	21	1011.1	369.8	571.3	1576.788		
1186	20190828_sample_5	20190828_slice_5	2019-08-28	Sample 5	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	5	5	VIP+	1039527	422962	98121	10	6975	Vip	Vip Gpc3	0.74	Vip Gpc3 (73.9%), Vip Chat_1 (16.0%), Vip Htr1f (2.7%)	Vip Gpc3 Slc18a3 (85.0%), Vip Ptprt Pkp2 (14.0%)	1675	128.61	Fede	33	968.8	350.3	599.3	1654.068	y	
1187	20190828_sample_6	20190828_slice_6	2019-08-28	Sample 6	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	5	5	VIP+	1994259	687255	182246	10	7172	Vip	Vip Gpc3	0.96	Vip Gpc3 (95.9%)	Vip Arhgap36 Hmcn1 (89.0%), Vip Igfbp4 Mab21l1 (11.0%)	1524	246.94	Fede	40	711.9	253.6	541.8	1495.368		
1188	20190828_sample_7	20190828_slice_7	2019-08-28	Sample 7	mouse_GHNSF	2019-06-30	59	F	Vip-IRES-Cre/wt; Ai9/wt	5	2/3	VIP+	1371954	1050853	127214	10	8566	Vip	Vip Mybpc1_2	0.98	Vip Mybpc1_2 (97.9%)	Vip Crispld2 Kcne4 (93.0%), Vip Lmo1 Myl1 (4.0%)	1911	133.5	Fede	18	374.4	137.1	610.5	1684.98	y	
1189	20190829_sample_1	20190829_slice_1	2019-08-29	Sample 1	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	2/3	2/3	NPY+	151876	71574	99931	10	884	low quality					1550	64.58	Fede	30	239.2	85.1	508.6	1403.736		
1190	20190829_sample_2	20190829_slice_2	2019-08-29	Sample 2	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	5	5	NPY+	2424634	519453	207662	10	8587	Lamp5	Lamp5 Slc35d3	0.46	Lamp5 Slc35d3 (46.0%), Lamp5 Pdlim5_2 (31.0%), Vip Serpinf1_3 (14.4%)	Lamp5 Lsp1 (71.0%), Lamp5 Plch2 Dock5 (24.0%)	1826	140.54	Fede	40	781.6	284.4	558.9	1542.564		
1191	20190829_sample_3	20190829_slice_3	2019-08-29	Sample 3	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	5	6	NPY+	2152426	2876465	342719	10	11788	IT	L6 IT_2	0.89	L6 IT_2 (88.6%), L6 IT_1 (10.1%)	L6 IT VISp Penk Col27a1 (45.0%), L6 IT VISp Penk Fst (37.0%), L6 IT ALM Tgfb1 (13.0%)	2252	226.64	Fede	40	1100.3	400.9	481.6	1329.216		
1192	20190829_sample_4	20190829_slice_3	2019-08-29	Sample 4	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	2/3	2/3	NPY+	457765	295423	118067	10	4491	Lamp5	Lamp5 Slc35d3	0.76	Lamp5 Slc35d3 (76.4%), Lamp5 Pdlim5_2 (18.4%), Lamp5 Pdlim5_1 (2.3%)	Lamp5 Lsp1 (100.0%)	1521	102.12	Fede	30	137.1	48.5	481.6	1329.216		
1193	20190829_sample_6	20190829_slice_4	2019-08-29	Sample 6	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	5	6	NPY+	1431990	918974	197597	10	8557	Lamp5	Lamp5 Slc35d3	0.73	Lamp5 Slc35d3 (72.9%), Lamp5 Pdlim5_2 (26.3%)	Lamp5 Lsp1 (97.0%)	1626	97.87	Fede	36	1036.9	380.5	453	1250.28	y	
1194	20190829_sample_9	20190829_slice_7	2019-08-29	Sample 9	mouse_AWOAY	2019-07-07	53	F	Npy-Cre/wt; Ai9/wt	5	5	NPY+	2572559	2138543	322504	10	10476	Pvalb	Pvalb Il1rapl2	0.95	Pvalb Il1rapl2 (94.9%), Pvalb Reln (3.7%)	Pvalb Tpbg (65.0%), Pvalb Reln Itm2a (32.0%)	1971	150.36	Fede	20	778.7	284.4	559.9	1545.324		
1195	20190830_sample_1	20190830_slice_1	2019-08-30	Sample 1	mouse_QAOWB	2019-06-09	82	M	Slc17a8-IRES2-Cre-D/wt; Ai9/wt	6	6	SLC17a8+	1300049	1856280	211365	10	8866	IT	L6 IT_2	0.49	L6 IT_2 (48.7%), L6 IT_1 (47.1%)	L6 IT VISp Penk Col27a1 (97.0%)	2113	144.6	Fede	21	1222.3	447.3	556.1	1534.836		
